,absolute_tidy_tweets,stopped_tweets,positive,negative,total,StSc,sentiment
2314,AcademicBreakNow Pagod na po ako kahit hindi pa nag start yung pasukan,academicbreaknow pagod po nag start yung pasukan,0,-2,12,0.0,0
2316,ay okay na po pala kami sa mins huhu bakit naman wala baka mapaaga AcademicBreakNow posting natin nyan ems,okay po pala mins huhu naman wala baka mapaaga academicbreaknow posting natin nyan ems,0,-2,19,0.0,0
2317,pakiusap AcademicBreakNow,pakiusap academicbreaknow,0,0,2,0.0,0
2322,bukas na pasok ko AcademicBreakNow,bukas pasok academicbreaknow,0,0,5,0.0,0
2325,nakita ko na schedule ayaw ko na AcademicBreakNow,schedule ayaw academicbreaknow,0,0,8,0.0,0
2336,ayoko na AcademicBreakNow,ayoko academicbreaknow,0,0,3,0.0,0
2339,goiz advice tae na kayo now baka magsihanap kayo wipes tom hshs face face AcademicBreakNow,goiz advice tae kayo baka magsihanap kayo wipes tom hshs face face academicbreaknow,0,0,15,0.0,0
2340,Basta sana lahat nalang pang hapon pasok AcademicBreakNow,basta sana nalang pang hapon pasok academicbreaknow,0,0,8,0.0,0
2344,iniisip ko pa lang na lunes na bukas pagod na agad ako AcademicBreakNow AcademicFreeze,iniisip lang lunes bukas pagod agad academicbreaknow academicfreeze,0,0,14,0.0,0
2345,pagod na aq pls AcademicBreakNow,pagod aq pls academicbreaknow,0,0,5,0.0,0
2347,ngayon pa lang sumasakit na ulo qq AcademicBreakNow t co wWCIRP Hz,lang sumasakit ulo qq academicbreaknow co wwcirp hz,0,-2,12,0.0,0
2349,AcademicBreakNow pagod na agad ako bat kami tinambakan ng activities eh hindi naman nagtuturo nagbigay lang ng iseself study SOBRANG DRAIN NA AKOOO PUNYETAAAAAA BAKIT GANITO,academicbreaknow pagod agad bat tinambakan activities eh naman nagtuturo nagbigay lang iseself study sobrang drain akooo punyetaaaaaa ganito,0,-2,26,0.0,0
2350,Recently sir watched amp He liked anna performance NTRForOscars ManOfMassesNTR NTR AcademicBreakNow AcademyAwards Variety NTR NTRGoesGlobal RRRMovie t co pU lPYCzCI,recently sir watched amp liked anna performance ntrforoscars manofmassesntr ntr academicbreaknow academyawards variety ntr ntrgoesglobal rrrmovie co pu lpyczci,1,0,21,1.0,1
2352,AcademicBreakNow char wala pa pala HAHAHAHHAHHHA,academicbreaknow char wala pala hahahahhahhha,0,-2,6,0.0,0
2355,AcademicBreakNow ayoko pa pumasok pa cancel muna please,academicbreaknow ayoko pumasok cancel muna please,0,-2,8,0.0,0
2356,pasukan plng bukas pero pagod na agad si em AcademicBreakNow,pasukan plng bukas pagod agad si em academicbreaknow,0,0,10,0.0,0
2357,Sure na ba Pasukan na talaga AcademicBreakNow HAHAHAHAHA chariz t co iix jWa Fn,sure ba pasukan talaga academicbreaknow hahahahaha chariz co iix jwa fn,1,0,14,1.0,1
2364,pagod na agad ako pls AcademicBreakNow AcademicFreeze,pagod agad pls academicbreaknow academicfreeze,0,0,7,0.0,0
2365,AcademicBreakNow pagod na ko,academicbreaknow pagod,0,0,4,0.0,0
2368,pala bukas AcademicBreakNow choz lang,pala bukas academicbreaknow choz lang,0,0,5,0.0,0
2369,may pasok na bukas AcademicBreakNow,pasok bukas academicbreaknow,0,0,5,0.0,0
2372,guys ayoko na AcademicBreakNow,guys ayoko academicbreaknow,0,0,4,0.0,0
2373,excited na ako mag AcademicBreakNow bukas hehehehe,excited mag academicbreaknow bukas hehehehe,1,0,7,1.0,1
2374,tangina ngayon pa sinipon pa cancel po ng ftf bukas HAHAHAHHAHHA AcademicBreakNow,tangina sinipon cancel po ftf bukas hahahahhahha academicbreaknow,0,0,12,0.0,0
2375,iniisip ko palang na may pasok na bukas napapagod na ako AcademicBreakNow j,iniisip palang pasok bukas napapagod academicbreaknow j,0,0,13,0.0,0
2376,iniisip ko palang pagod na ko agad AcademicBreakNow,iniisip palang pagod agad academicbreaknow,0,0,8,0.0,0
2378,musta po first week mas napapagod pako sa pag akyat baba sa hagdanan ng mga buildings kesa mag aral AcademicBreakNow t co zZki sf dE,musta po first week mas napapagod pako pag akyat baba hagdanan buildings kesa mag aral academicbreaknow co zzki sf de,1,0,25,1.0,1
2379,For example I just read the word ignominiously and my brain went shameful and bad I didn t just read the initial word for itself What do y all s brains do SaturdayVibes reading AcademicBreakNow AcademicChatter,example read word ignominiously brain went shameful bad read initial word brains saturdayvibes reading academicbreaknow academicchatter,0,-3,36,0.0,0
2380,The important lesson I wish I knew during my PhD journey Don t worry that you have made a slow start Anyway you can make a golden finish AcademicBreakNow AcademicTwitter phdvoice t co AMEW LOeVW,important lesson wish knew phd journey worry made slow start anyway make golden finish academicbreaknow academictwitter phdvoice co amew loevw,4,-2,35,0.3333333333333333,1
2384,iiwan ko sa monday si given at loki gago naiiyak ako para akong mangingibang bansa eh papasok lang naman ako AcademicBreakNow j,iiwan monday si given loki gago naiiyak akong mangingibang bansa eh papasok lang naman academicbreaknow j,0,0,22,0.0,0
2389,hindi na ako masyado updated at active huhu forda f f na kasi AcademicBreakNow,updated active huhu forda f f kasi academicbreaknow,0,0,14,0.0,0
2392,Pagod na ako mag aral huehue AcademicBreakNow,pagod mag aral huehue academicbreaknow,1,0,7,1.0,1
2393,orientation pa lang drain na drain na ako amp AcademicBreakNow,orientation lang drain drain amp academicbreaknow,0,-2,10,0.0,0
2395,wait lang wala pa akong school supplies AcademicBreakNow,wait lang wala akong school supplies academicbreaknow,0,0,8,0.0,0
2396,AcademicBreakNow ulit kasi ginamit ko fave boxer ko ngayon eh kala ko may one wk pa ako para malabhan ko gamitjn ko sa first day ftf kingina sa monday na pala,academicbreaknow ulit kasi ginamit fave boxer eh kala one wk malabhan gamitjn first day ftf kingina monday pala,1,-2,31,-0.3333333333333333,0
2397,schedule palang nakikita ko pagod na ko haha AcademicBreakNow,schedule palang nakikita pagod haha academicbreaknow,0,0,9,0.0,0
2402,hindi pa start ng enrollment pero gusto ko na agad mag petition for acad break AcademicBreakNow AcademicFreeze,start enrollment agad mag petition acad break academicbreaknow academicfreeze,1,-2,17,-0.3333333333333333,0
2404,pagod na ako kahit dipa nag sisimula AcademicBreakNow,pagod dipa nag sisimula academicbreaknow,0,-2,8,0.0,0
2406,AcademicBreakNow kasi hindi pa naaayos body clock ko j,academicbreaknow kasi naaayos body clock j,0,0,9,0.0,0
2408,days nalang bago maki AcademicBreakNow na ako,days nalang maki academicbreaknow,1,0,7,1.0,1
2413,haha grabe pagod ko kagabi ACADEMICBREAKNOW,haha grabe pagod kagabi academicbreaknow,0,0,6,0.0,0
2416,wala pang klase nauutusan na ko ni sir AcademicBreakNow,wala pang klase nauutusan sir academicbreaknow,0,0,9,0.0,0
2417,need ko na iwasan ang school dahil d distract na ko sa amp aud agenda ko AcademicBreakNow,need iwasan school distract amp aud agenda academicbreaknow,0,0,17,0.0,0
2420,first week of orientation pa lang bhie pero ang pagod q pang midterms na pls lang auq nAh AcademicBreakNow,first week orientation lang bhie pagod q pang midterms pls lang auq nah academicbreaknow,0,0,19,0.0,0
2422,exam na tangina nyo AcademicBreakNow,exam tangina nyo academicbreaknow,0,0,5,0.0,0
2423,AcademicBreakNow Ay wala pa pala HAHAHAHA Practice lang,academicbreaknow wala pala hahahaha practice lang,0,-2,8,0.0,0
2424,Saturday class Wala pa nga month pagod na ako AcademicBreakNow na na ako,saturday class wala nga month pagod academicbreaknow,0,0,13,0.0,0
2425,Ngayon lang ako natuwa sa phot a caption ng Sen tama naman si hindi naman talaga puro tiktok inaatupag ng mas priority nila ang magrally sa kalsada or immersion activities or sumigaw ng AcademicBreakNow kesa mag aral t co u WCC cwh,lang natuwa phot caption sen tama naman si naman talaga puro tiktok inaatupag mas priority magrally kalsada immersion activities sumigaw academicbreaknow kesa mag aral co u wcc cwh,4,-2,42,0.3333333333333333,1
2429,teh sna wala sched pra wala n papasok tpos wla n din mag aaral AcademicBreakNow,teh sna wala sched pra wala n papasok tpos wla n mag aaral academicbreaknow,0,-3,15,0.0,0
2430,me during online classes miss ko na f f me na walang bakasyon tapos magf f na AcademicBreakNow t co myazXy vzd,online classes miss f f bakasyon tapos magf f academicbreaknow co myazxy vzd,0,-2,22,0.0,0
2431,Hello po Pls AcademicBreakNow pagod na ako,hello po pls academicbreaknow pagod,0,0,7,0.0,0
2434,ACADEMICBREAKNOW di q na kaya,academicbreaknow di q,1,0,5,1.0,1
2436,wala pa man pasok pagod na kagad kami AcademicBreakNow,wala man pasok pagod kagad academicbreaknow,0,-3,9,0.0,0
2439,tinitignan ko pa lang ang subjects pagod na ko e huhu AcademicBreakNow,tinitignan lang subjects pagod e huhu academicbreaknow,0,0,12,0.0,0
2443,omg nasa school pala ako during kcon omg AcademicBreakNow,omg nasa school pala kcon omg academicbreaknow,0,-2,9,0.0,0
2445,nakita ko lang sched ko parang gusto ko na mag AcademicBreakNow,lang sched parang mag academicbreaknow,1,0,11,1.0,1
2446,hindi pa ko enrolled pero pagod na ko AcademicBreakNow,enrolled pagod academicbreaknow,0,-2,9,0.0,0
2448,sobrang nakakapagod first week academicbreaknow,sobrang nakakapagod first week academicbreaknow,0,0,5,0.0,0
2450,puta ayoko na mag monday AcademicBreakNow HAHAHAHAHA,puta ayoko mag monday academicbreaknow hahahahaha,0,-2,7,0.0,0
2452,tama tama AcademicBreakNow na kasi,tama tama academicbreaknow kasi,2,0,5,1.0,1
2453,pagod na akiz AcademicBreakNow huhu t co s nOlhm m,pagod akiz academicbreaknow huhu co nolhm,0,0,10,0.0,0
2454,pailad ilad lang ako sa kama pero ang totoo niyan mahirap yung assignment namin sa art app sa monday hahaha fwok di nga lang pala puro awra gagawin ko dito sa manila i cant believe i really have to study ACADEMICBREAKNOW,pailad ilad lang kama totoo niyan mahirap yung assignment art app monday hahaha fwok di nga lang pala puro awra manila cant believe really study academicbreaknow,0,-3,41,0.0,0
2457,sampung books baka st day palang pagod naq tas AcademicBreakNow na agad,sampung books baka st day palang pagod naq tas academicbreaknow agad,0,0,12,0.0,0
2458,AcademicBreakNow ayaw ko siya makita sa monday,academicbreaknow ayaw monday,0,0,7,0.0,0
2462,pagod na ko maglakad AcademicBreakNow,pagod maglakad academicbreaknow,0,0,5,0.0,0
2466,just a tot idk how some make fun of the AcademicBreakNow pero andaming students na pinaglaban yan for others to have a breather,tot idk make fun academicbreaknow andaming students pinaglaban yan others breather,3,0,23,1.0,1
2467,tanginang schedule to ayaw ko na AcademicBreakNow,tanginang schedule ayaw academicbreaknow,0,0,7,0.0,0
2468,D ko n kaya nahhaggard ako sa subs AcademicBreakNow,n nahhaggard subs academicbreaknow,1,0,9,1.0,1
2476,ayq na mag aral AcademicBreakNow,ayq mag aral academicbreaknow,1,0,5,1.0,1
2477,Na o overwhelm na ko putangina AcademicBreakNow,overwhelm putangina academicbreaknow,0,-2,7,0.0,0
2479,AcademicBreakNow tinatamad pa ako plz,academicbreaknow tinatamad plz,0,0,5,0.0,0
2482,hehe orientation palang tinatamad nako AcademicBreakNow,hehe orientation palang tinatamad nako academicbreaknow,0,0,6,0.0,0
2491,true plz hindi pa din ako ready AcademicBreakNow,true plz ready academicbreaknow,1,-2,8,-0.3333333333333333,0
2492,AcademicBreakNow HAHAHAHAHA pagod na agad ako,academicbreaknow hahahahaha pagod agad,0,0,6,0.0,0
2493,AcademicBreakNow enrollment pa lang pagod na pagod na po ako oo,academicbreaknow enrollment lang pagod pagod po oo,0,-2,11,0.0,0
2495,ayaw ko pa AcademicBreakNow,ayaw academicbreaknow,0,0,4,0.0,0
2496,Meet Miriam Langer and her co creators Open Hardware Trailblazers doing important work in cultural institutions and museums t co rrERh FcH openhardware AcademicBreakNow,meet miriam langer co creators open hardware trailblazers important work cultural institutions museums co rrerh fch openhardware academicbreaknow,2,0,24,1.0,1
2499,Pls lang kailangan ko nang pumasok miss ko na gamitin ang hashtag na AcademicBreakNow AHHAHAHA,pls lang nang pumasok miss gamitin hashtag academicbreaknow ahhahaha,0,-2,15,0.0,0
2500,ay shuta may class pala ako bukas AcademicBreakNow,shuta class pala bukas academicbreaknow,0,-2,8,0.0,0
2502,Time for some proper time off for me I have just shutdown my laptop for the first time since I bought it months ago AcademicBreakNow,time proper time shutdown laptop first time since bought months ago academicbreaknow,1,0,25,1.0,1
2505,haha napapabayaan ko na asawa ko tama na po ang f f AcademicBreakNow t co ow iJizIcj,haha napapabayaan asawa tama po f f academicbreaknow co ow ijizicj,1,0,17,1.0,1
2506,Iyong orientation pa lang pagod kana AcademicBreakNow HAHAHAHAH,orientation lang pagod kana academicbreaknow hahahahah,0,0,8,0.0,0
2513,AcademicBreakNow flz pagod na me emzhahdjxhaha t co GyAcCkXz N,academicbreaknow flz pagod emzhahdjxhaha co gyacckxz n,0,0,10,0.0,0
2514,AcademicBreakNow pagod nako agad,academicbreaknow pagod nako agad,0,0,4,0.0,0
2519,sumusobra na kayo AcademicBreakNow t co a Ol moUx,sumusobra kayo academicbreaknow co ol moux,1,0,9,1.0,1
2523,sa monday pasukan pero pagod na pagod na ko AcademicBreakNow,monday pasukan pagod pagod academicbreaknow,0,-2,10,0.0,0
2524,Inadto dayon ko ka drain everytime after class AcademicBreakNow feel na nako ang ka kapoy AHAHAHA,inadto dayon drain everytime class academicbreaknow feel nako kapoy ahahaha,0,0,16,0.0,0
2525,Byahe palang paschool pagod na AcademicBreakNow,byahe palang paschool pagod academicbreaknow,0,0,6,0.0,0
2526,pagod sa st day of class Mapapaselfie ka nalang sa inis AcademicBreakNow t co gsVrTfWh,pagod st day class mapapaselfie nalang inis academicbreaknow co gsvrtfwh,0,-2,15,0.0,0
2527,dipako nagsstudy ayoko na agad AcademicBreakNow,dipako nagsstudy ayoko agad academicbreaknow,0,0,6,0.0,0
2529,Wala akong pakialam kung mahirap subj namin pero dahil sa bayarin sa school makiki AcademicBreakNow AcademicFreeze aqouh Translate Tweet,wala akong pakialam mahirap subj bayarin school makiki academicbreaknow academicfreeze aqouh translate tweet,0,-2,19,0.0,0
2533,gusto ko na manood HSJJSJSSJS KEDKSKWESSSKKSKSSKSO AcademicBreakNow t co E SmO iUs,manood hsjjsjssjs kedkskwessskksksskso academicbreaknow co e smo ius,1,0,12,1.0,1
2534,Tech wiz was a success Wish our Students luck aptechnigeria aptechvictoriaisland aptechvi AcademicBreakNow techworld t co uSMxXii JE,tech wiz success wish students luck aptechnigeria aptechvictoriaisland aptechvi academicbreaknow techworld co usmxxii je,3,0,18,1.0,1
2535,First day lang ng f f pagod na ako AcademicBreakNow,first day lang f f pagod academicbreaknow,0,0,10,0.0,0
2537,pwede naman advanced academicbreaknow,pwede naman advanced academicbreaknow,1,0,4,1.0,1
2540,for the pagod na pagod na ako AcademicBreakNow,pagod pagod academicbreaknow,0,-2,8,0.0,0
2545,Ayaw ko pa po pumasok AcademicBreakNow,ayaw po pumasok academicbreaknow,0,0,6,0.0,0
2546,pagod nako mga mhie AcademicBreakNow,pagod nako mhie academicbreaknow,0,0,5,0.0,0
2547,wala pang august pero AcademicBreakNow pagod na po ako,wala pang august academicbreaknow pagod po,0,-2,9,0.0,0
2550,orientation pa lang pagod na ako AcademicBreakNow,orientation lang pagod academicbreaknow,0,0,7,0.0,0
2555,Hindi q n kaya hau AcademicBreakNow,q n hau academicbreaknow,1,0,6,1.0,1
2557,wala akong clothes pang ftf classes haha pls AcademicBreakNow,wala akong clothes pang ftf classes haha pls academicbreaknow,0,0,9,0.0,0
2558,orientation pa lang masakit na likod ko AcademicBreakNow,orientation lang masakit academicbreaknow,0,-2,8,0.0,0
2561,ang boring hahahaha AcademicBreakNow,boring hahahaha academicbreaknow,0,0,4,0.0,0
2562,ilang araw nalang hindi na ako ulit puwede matulog AcademicBreakNow,ilang araw nalang ulit puwede matulog academicbreaknow,0,-3,10,0.0,0
2563,i think tama po AcademicBreakNow,think tama po academicbreaknow,1,0,5,1.0,1
2564,tangina ng nasa harap ko huhuhu nanununtok ang amoy grabe na po ang f f AcademicBreakNow,tangina nasa harap huhuhu nanununtok amoy grabe po f f academicbreaknow,0,-3,16,0.0,0
2566,hahhahahahah lapit na pasukan amputa baliwan na naman e AcademicBreakNow,hahhahahahah lapit pasukan amputa baliwan naman e academicbreaknow,0,0,10,0.0,0
2567,Kakastart palang ng klase pagod nako agad AcademicBreakNow,kakastart palang klase pagod nako agad academicbreaknow,0,0,8,0.0,0
2572,AcademicBreakNow wala pa ako skul supplies,academicbreaknow wala skul supplies,0,0,6,0.0,0
2573,auko na mag aral AcademicBreakNow,auko mag aral academicbreaknow,1,0,5,1.0,1
2577,Pasukan na ilang araw nalang haha AcademicBreakNow,pasukan ilang araw nalang haha academicbreaknow,0,0,7,0.0,0
2578,orientation pa lang ayoko na AcademicBreakNow,orientation lang ayoko academicbreaknow,0,0,6,0.0,0
2579,Nakakatamad pumasok sa monday AcademicBreakNow,nakakatamad pumasok monday academicbreaknow,0,0,5,0.0,0
2581,Wala na ang boring na tinatamad na ulit ako mag aral AcademicBreakNow,wala boring tinatamad ulit mag aral academicbreaknow,1,-2,12,-0.3333333333333333,0
2582,AcademicBreakNow at mejo kulang kulang na tulog ko,academicbreaknow mejo tulog,0,-3,8,0.0,0
2583,excited kayka pls lang academicbreaknow,excited kayka pls lang academicbreaknow,1,0,5,1.0,1
2587,AcademicBreakNow di ko kaya ang hrs chem mag TTh,academicbreaknow di hrs chem mag tth,1,0,9,1.0,1
2592,Orientation palang namin pagod na ko AcademicBreakNow,orientation palang pagod academicbreaknow,0,0,7,0.0,0
2596,ay joke lang I can t do this pala AcademicBreakNow,joke lang pala academicbreaknow,0,-2,10,0.0,0
2597,mge bHie bakit ang gagaling sumagot ng mga ka bm ko tf recitation pang miss universe na saken pang classroom lang literal huhuhu mali ata ako ng pinasukan help AcademicBreakNow,mge bhie gagaling sumagot bm tf recitation pang miss universe saken pang classroom lang literal huhuhu mali ata pinasukan help academicbreaknow,0,-2,30,0.0,0
2599,Ayoko na pumasok baka madakip ako AcademicBreakNow HAHAHAHAHAHAHAHAHA,ayoko pumasok baka madakip academicbreaknow hahahahahahahahaha,0,0,8,0.0,0
2600,we have biotechnology and research this g and last year we have research and advance algebra as special subjects GIVE US A DAMN BREAK OMG AcademicBreakNow,biotechnology research g last year research advance algebra special subjects give us damn break omg academicbreaknow,1,0,26,1.0,1
2607,totoo bang sa mon na mag f f AcademicBreakNow,totoo bang mon mag f f academicbreaknow,0,0,9,0.0,0
2617,hindi kami mga robot AcademicBreakNow,robot academicbreaknow,0,-2,5,0.0,0
2619,ayoko na pumasok walang chwe hansol sa school AcademicBreakNow,ayoko pumasok chwe hansol school academicbreaknow,0,-3,9,0.0,0
2624,orientation pa lang pagod na ko AcademicBreakNow pls,orientation lang pagod academicbreaknow pls,0,0,8,0.0,0
2625,jgh first day of school with jekjek done mapapa AcademicBreakNow sa pagod t co FumT pEgo,jgh first day school jekjek done mapapa academicbreaknow pagod co fumt pego,0,0,16,0.0,0
2627,bakit ganon sila kailan sila mag aannounce kapag sunday na HDHDHSHSHS wala na AcademicBreakNow,ganon kailan mag aannounce sunday hdhdhshshs wala academicbreaknow,0,0,14,0.0,0
2630,AcademicBreakNow Charot lang hindi pa nga kami sure kung kelan ang pasok eh practice muna,academicbreaknow charot lang nga sure kelan pasok eh practice muna,0,-2,15,0.0,0
2631,ayoko na agad mag gen chem hahahha AcademicBreakNow t co C eE kvpYp,ayoko agad mag gen chem hahahha academicbreaknow co c ee kvpyp,0,0,13,0.0,0
2634,wala pa tangina pagod na pagod na ako AcademicBreakNow,wala tangina pagod pagod academicbreaknow,0,-4,9,0.0,0
2635,AcademicBreakNow orientation pa lang di na kaya ng katawan ko,academicbreaknow orientation lang di katawan,1,0,10,1.0,1
2637,orientation palang pagod na ko AcademicBreakNow,orientation palang pagod academicbreaknow,0,0,6,0.0,0
2639,hindi pa start ng class pero stressed na agad ako AcademicBreakNow emz,start class stressed agad academicbreaknow emz,0,0,12,0.0,0
2640,What a sched AcademicBreakNow,sched academicbreaknow,1,0,4,1.0,1
2642,pagod na ko AcademicBreakNow,pagod academicbreaknow,0,0,4,0.0,0
2643,Online class nalang pala ulit HAHAHAHAHAHA st week palang AcademicBreakNow at AcademicFreeze na agad sinisigaw ng utak ko HAHAHAHAHAHAHAHAHAHAHAHA,online class nalang pala ulit hahahahahaha st week palang academicbreaknow academicfreeze agad sinisigaw utak hahahahahahahahahahahaha,0,0,19,0.0,0
2645,Wala na bang bago ahhh Sabagay alam mo naman kasing may kumukuha ng video kaya ganyan fan services everywhere Dapat laging pa sweet ang moments Kaya pala sanay humaplos si KD KDEstrada KDLex AlexaIlacad AcademicBreakNow t co CuRbywh Z t co FOIziMCirm,wala bang ahhh sabagay alam mo naman kasing kumukuha video ganyan fan services everywhere laging sweet moments pala sanay humaplos si kd kdestrada kdlex alexailacad academicbreaknow co curbywh z co foizimcirm,4,0,42,0.6,1
2646,Wala na bang bago sabagay alam mo naman kasing may kumukuha ng video kaya ganyan fan services everywhere Dapat laging pa sweet ang mga moments KDEstrada KDLex AlexaIlacad AcademicBreakNow t co CuRbywh Z t co MVtsJ px A,wala bang sabagay alam mo naman kasing kumukuha video ganyan fan services everywhere laging sweet moments kdestrada kdlex alexailacad academicbreaknow co curbywh z co mvtsj px,3,0,38,1.0,1
2647,Wala na bang bago alam mo naman kasing may kumukuha ng video kaya ganyan fan services everywhere Dapat laging pa sweet ang kilosan KDEstrada KDLex AlexaIlacad AcademicBreakNow t co CuRbywh Z t co YpTBvUx s,wala bang alam mo naman kasing kumukuha video ganyan fan services everywhere laging sweet kilosan kdestrada kdlex alexailacad academicbreaknow co curbywh z co yptbvux,3,0,35,1.0,1
2654,AcademicBreakNow pagod nako kakahanap ng ka parehas ko ng section at gc,academicbreaknow pagod nako kakahanap parehas section gc,0,0,12,0.0,0
2655,first day of of my f f class nakakapagod AcademicBreakNow HAHAH charot,first day f f class nakakapagod academicbreaknow hahah charot,0,0,12,0.0,0
2659,mock class palang kapuy na AcademicBreakNow,mock class palang kapuy academicbreaknow,0,0,6,0.0,0
2662,ayoko pumasok AcademicBreakNow,ayoko pumasok academicbreaknow,0,-2,3,0.0,0
2668,ayoko na mamamatay na ako ngayong sy AcademicBreakNow,ayoko mamamatay ngayong sy academicbreaknow,0,-2,8,0.0,0
2669,orientation palang pagod nako AcademicBreakNow,orientation palang pagod nako academicbreaknow,0,0,5,0.0,0
2670,nagmuka akong sipsip sa gc please ayoko na agad AcademicBreakNow,nagmuka akong sipsip gc please ayoko agad academicbreaknow,0,0,10,0.0,0
2671,wala akong maintindihan AcademicBreakNow charot,wala akong maintindihan academicbreaknow charot,0,0,5,0.0,0
2673,AcademicBreakNow My Lolo just died and malapit na mag pasukan I think me tweeting this hashtag won t be an issue I m tired physically and mentally,academicbreaknow lolo died malapit mag pasukan think tweeting hashtag issue tired physically mentally,2,-3,27,-0.2,0
2676,aga ng pasok ko today huhu AcademicBreakNow,aga pasok today huhu academicbreaknow,0,0,7,0.0,0
2678,Me psyching myself up just before opening my Email inbox after over a weeks annual leave AcademicTwitter annualleave AcademicBreakNow t co pxpFcXUyGx,psyching opening email inbox weeks annual leave academictwitter annualleave academicbreaknow co pxpfcxuygx,1,0,22,1.0,1
2682,Huy be bakit trending yung AcademicBreakNow malapit na pasukan oy,huy trending yung academicbreaknow malapit pasukan oy,1,0,10,1.0,1
2683,tanginang allergy AcademicBreakNow,tanginang allergy academicbreaknow,0,0,3,0.0,0
2685,wala nakong pera wala man lang ginagawa yung gobyerno AcademicBreakNow,wala nakong pera wala man lang yung gobyerno academicbreaknow,1,-2,10,-0.3333333333333333,0
2686,nagkaroon na ata ng crush na bago hindi na ko kinakausap AcademicBreakNow,ata crush kinakausap academicbreaknow,1,-2,12,-0.3333333333333333,0
2687,icb this is trending again whats up like my school is about to start in a few hours frm now palang AcademicBreakNow,icb trending whats like school start hours frm palang academicbreaknow,2,0,22,1.0,1
2688,kapag bigla po akong hindi nag tweet means nilamon na po ako ng school ko AcademicBreakNow,bigla po akong nag tweet means nilamon po school academicbreaknow,0,-3,16,0.0,0
2689,kinuha ko lang module ko pagod na ko AcademicBreakNow,kinuha lang module pagod academicbreaknow,0,0,9,0.0,0
2690,Naboboang ka na bang pumasok o kaya y gusto ng AcademicBreakNow Lipat ka nalang sa ISCP Dito sa ISCP araw araw may Academic Break at sa school na to di ka tatamarin at maiistress sa klase Si MrBeast ang aming ambassador Ano pang iniintay mo Lipat na t co V TAwmHXf,naboboang bang pumasok academicbreaknow lipat nalang iscp iscp araw araw academic break school di tatamarin maiistress klase si mrbeast ambassador pang iniintay mo lipat co v tawmhxf,2,0,51,0.3333333333333333,1
2691,pasok nanaman bukas amp AcademicBreakNow,pasok nanaman bukas amp academicbreaknow,0,0,5,0.0,0
2693,RECOMMENDING THIS WEBTOON TITLE ODD GIRL OUT This isn t all about teenage romance Y all see the important of friendship here Not a typical webtoon romance Good thing to read especially when your bored webtoon OddGirlOut AcademicBreakNow Recommended Romance Freindship t co EMUYSusZdg,recommending webtoon title odd girl teenage romance see important friendship typical webtoon romance good thing read especially bored webtoon oddgirlout academicbreaknow recommended romance freindship co emuysuszdg,2,0,44,0.3333333333333333,1
2701,tomasinong freshie na gusto na mag AcademicBreakNow,tomasinong freshie mag academicbreaknow,1,0,7,1.0,1
2705,Di nyo makikita si crush kapag AcademicBreakNow na lang paratiiii,di nyo makikita si crush academicbreaknow lang paratiiii,0,0,10,0.0,0
2706,Wala pa Kaming class kasi next month pa pero parang gusto ko tong AcademicBreakNow Haahajjahah,wala kaming class kasi next month parang tong academicbreaknow haahajjahah,1,0,15,1.0,1
2707,ni section wala pa ako pero AcademicBreakNow t co UdXy x eAo,section wala academicbreaknow co udxy x eao,0,0,12,0.0,0
2708,bigyan mo daw ng motivation si sean para mag aral pero AcademicBreakNow pagodnaangferson,bigyan mo daw motivation si sean mag aral academicbreaknow pagodnaangferson,1,0,13,1.0,1
2709,Sa stress at pagod ko today parang mapapa tweet ako ng AcademicBreakNow,stress pagod today parang mapapa tweet academicbreaknow,0,-2,12,0.0,0
2710,tama po AcademicBreakNow,tama po academicbreaknow,1,0,3,1.0,1
2711,Yung orientation palang naman kanina pero mapapahastag AcademicBreakNow ka nalang talaga eh HAHNSJSJSJSJS,yung orientation palang naman kanina mapapahastag academicbreaknow nalang talaga eh hahnsjsjsjsjs,1,0,13,1.0,1
2713,only had one class today and damn i feel so drained rn AcademicBreakNow what more tomorrow consecutive classes,one class today damn feel drained rn academicbreaknow tomorrow consecutive classes,0,-2,18,0.0,0
2716,Enrollment palang pagod na ko AcademicBreakNow,enrollment palang pagod academicbreaknow,0,0,6,0.0,0
2717,nd week of class palang pero burn out na kame huhu AcademicBreakNow,nd week class palang burn kame huhu academicbreaknow,0,0,12,0.0,0
2719,kahit wala pang announcement ng pasukan pagod na agad ako AcademicBreakNow,wala pang announcement pasukan pagod agad academicbreaknow,0,-2,11,0.0,0
2723,HAHAHHAHHHAHAHA AcademicBreakNow ket hindi pa naguumpisa klase t co AETnIACfG,hahahhahhhahaha academicbreaknow ket naguumpisa klase co aetniacfg,0,0,10,0.0,0
2725,super exhausted today haayy AcademicBreakNow charot orientation pa lang pala HDKAHSJHAHS,super exhausted today haayy academicbreaknow charot orientation lang pala hdkahsjhahs,1,-2,11,-0.3333333333333333,0
2726,samin nga di pa nagstart pagod na ko AcademicBreakNow t co dluH SnOOe,samin nga di nagstart pagod academicbreaknow co dluh snooe,0,0,13,0.0,0
2727,pagod na po ako sa first day of school AcademicBreakNow,pagod po first day school academicbreaknow,0,0,10,0.0,0
2733,AcademicBreakNow eme magsstart pa lng pala,academicbreaknow eme magsstart lng pala,0,0,6,0.0,0
